pupilid,schoolid,district,bungoma,division,zone,tracking,sbm,girl,agetest,etpteacher,lowstream,stream_meanpercentile,SDstream_std_mark,MEANstream_std_mark,bottomhalf,tophalf,bottomquarter,secondquarter,thirdquarter,topquarter,std_mark,percentile,realpercentile,quantile5p,attrition,wordscore,sentscore,letterscore,spellscore,sentscore24,letterscore24,spellscore24,litscore,additions_score,substractions_score,multiplications_score,mathscoreraw,totalscore,rMEANstream_std_baselinemark,rSDstream_std_baselinemark,rMEANstream_std_total,rSDstream_std_total,rMEANstream_std_math,rSDstream_std_math,rMEANstream_std_lit,rSDstream_std_lit,r2_attrition,r2_age,r2_wordscore,r2_sentscore,r2_letterscore,r2_spellscore,r2_sentscore24,r2_letterscore24,r2_spellscore24,r2_litscore,r2_mathscoreraw,r2_additions_score,r2_substractions_score,r2_multiplications_score,r2_totalscore
5001038,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,7,0,1,25,0,-1,1,0,0,1,0,0,-1,41,41,9,0,0,2,15,1,1,5,2,2,3,1,0,4,6,-1,0,-1,1,-1,1,0,1,0,12,0,0,37,4,0,13,10,6,9,4,5,0,15
5001039,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,11,0,1,25,0,-1,1,0,0,1,0,0,0,42,43,9,0,0,0,16,0,0,5,0,1,2,0,0,2,3,-1,0,-1,1,-1,1,0,1,0,10,10,0,11,0,0,4,0,3,6,5,1,0,9
5001041,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,11,0,1,25,0,-1,1,0,0,1,0,0,0,44,44,9,0,24,6,19,5,4,7,12,12,5,3,0,8,20,-1,0,-1,1,-1,1,0,1,0,11,4,6,21,0,4,7,0,4,13,5,6,2,17
5001046,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,8,0,1,25,0,-1,1,0,0,1,0,0,0,47,48,10,0,0,0,12,0,0,4,0,1,1,1,0,2,3,-1,0,-1,1,-1,1,0,1,0,10,0,4,27,5,2,9,12,6,9,4,5,0,15
5001047,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,11,0,1,25,0,-1,1,0,0,1,0,0,0,49,49,10,0,4,1,26,1,1,9,2,4,0,3,0,3,7,-1,0,-1,1,-1,1,0,1,0,11,0,8,60,2,5,21,5,8,6,2,4,0,14
5001050,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,11,1,0,75,1,1,0,1,0,0,1,0,0,51,52,11,0,0,0,17,3,0,6,7,3,5,8,1,14,17,1,1,1,1,1,1,0,1,0,9,12,10,63,7,6,22,17,14,14,8,6,0,28
5001051,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,10,1,0,75,1,1,0,1,0,0,1,0,0,52,53,11,0,22,16,44,9,10,15,22,17,8,8,3,19,36,1,1,1,1,1,1,0,1,0,11,24,36,69,9,22,24,22,23,18,7,7,4,41
5001055,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,10,1,0,75,1,1,0,1,0,0,1,0,0,60,60,12,0,2,0,39,0,0,13,0,4,8,7,0,15,19,1,1,1,1,1,1,0,1,0,9,20,23,60,6,14,21,14,17,10,5,5,0,27
5001056,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,11,1,0,75,1,1,0,1,0,0,1,0,0,58,59,12,0,10,8,37,7,5,13,17,11,8,8,1,17,28,1,1,1,1,1,1,0,1,0,10,24,16,69,8,10,24,19,19,19,9,9,1,38
5001057,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,10,1,0,75,1,1,0,1,0,0,1,0,0,58,59,12,0,22,7,44,7,4,15,17,15,8,8,0,16,31,1,1,1,1,1,1,0,1,0,10,19,20,48,9,12,16,22,17,17,8,5,4,34
